"","hbr","area_name","sex","year","age_group","population_size"
"475","S08000004","Fife","All",2014,"All",367250
"476","S08000005","Forth Valley","All",2014,"0-44 years",161652
"477","S08000005","Forth Valley","All",2014,"45-64 years",84582
"478","S08000005","Forth Valley","All",2014,"65-74 years",30679
"479","S08000005","Forth Valley","All",2014,"75plus years",23487
"480","S08000005","Forth Valley","All",2014,"All",300400
"481","S08000006","Grampian","All",2014,"0-44 years",328617
"482","S08000006","Grampian","All",2014,"45-64 years",156543
"483","S08000006","Grampian","All",2014,"65-74 years",55041
"484","S08000006","Grampian","All",2014,"75plus years",44019
"485","S08000006","Grampian","All",2014,"All",584220
"486","S08000007","Greater Glasgow and Clyde","All",2014,"0-44 years",649846
"487","S08000007","Greater Glasgow and Clyde","All",2014,"45-64 years",305704
"488","S08000007","Greater Glasgow and Clyde","All",2014,"65-74 years",99704
"489","S08000007","Greater Glasgow and Clyde","All",2014,"75plus years",87336
"490","S08000007","Greater Glasgow and Clyde","All",2014,"All",1142590
"491","S08000008","Highland","All",2014,"0-44 years",155831
"492","S08000008","Highland","All",2014,"45-64 years",95748
"493","S08000008","Highland","All",2014,"65-74 years",39198
"494","S08000008","Highland","All",2014,"75plus years",29953
"495","S08000008","Highland","All",2014,"All",320730
"496","S08000009","Lanarkshire","All",2014,"0-44 years",355026
"497","S08000009","Lanarkshire","All",2014,"45-64 years",185907
"498","S08000009","Lanarkshire","All",2014,"65-74 years",63621
"499","S08000009","Lanarkshire","All",2014,"75plus years",48746
"500","S08000009","Lanarkshire","All",2014,"All",653300
"501","S08000010","Lothian","All",2014,"0-44 years",503019
"502","S08000010","Lothian","All",2014,"45-64 years",219065
"503","S08000010","Lothian","All",2014,"65-74 years",74359
"504","S08000010","Lothian","All",2014,"75plus years",61677
"505","S08000010","Lothian","All",2014,"All",858120
"506","S08000011","Orkney","All",2014,"0-44 years",10376
"507","S08000011","Orkney","All",2014,"45-64 years",6489
"508","S08000011","Orkney","All",2014,"65-74 years",2738
"509","S08000011","Orkney","All",2014,"75plus years",1977
"510","S08000011","Orkney","All",2014,"All",21580
"511","S08000012","Shetland","All",2014,"0-44 years",12414
"512","S08000012","Shetland","All",2014,"45-64 years",6569
"513","S08000012","Shetland","All",2014,"65-74 years",2468
"514","S08000012","Shetland","All",2014,"75plus years",1769
"515","S08000012","Shetland","All",2014,"All",23220
"516","S08000013","Tayside","All",2014,"0-44 years",216844
"517","S08000013","Tayside","All",2014,"45-64 years",113003
"518","S08000013","Tayside","All",2014,"65-74 years",44925
"519","S08000013","Tayside","All",2014,"75plus years",39028
"520","S08000013","Tayside","All",2014,"All",413800
"521","S08000014","Western Isles","All",2014,"0-44 years",12605
"522","S08000014","Western Isles","All",2014,"45-64 years",8194
"523","S08000014","Western Isles","All",2014,"65-74 years",3508
"524","S08000014","Western Isles","All",2014,"75plus years",2943
"525","S08000014","Western Isles","All",2014,"All",27250
"526","S92000003","Scotland","Males",2014,"0-44 years",1452120
"527","S92000003","Scotland","Males",2014,"45-64 years",717435
"528","S92000003","Scotland","Males",2014,"65-74 years",253825
"529","S92000003","Scotland","Males",2014,"75plus years",173150
"530","S92000003","Scotland","Males",2014,"All",2596530
"531","S08000001","Ayrshire and Arran","Males",2014,"0-44 years",91296
"532","S08000001","Ayrshire and Arran","Males",2014,"45-64 years",51732
"533","S08000001","Ayrshire and Arran","Males",2014,"65-74 years",20786
"534","S08000001","Ayrshire and Arran","Males",2014,"75plus years",13923
"535","S08000001","Ayrshire and Arran","Males",2014,"All",177737
"536","S08000002","Borders","Males",2014,"0-44 years",26071
"537","S08000002","Borders","Males",2014,"45-64 years",17204
"538","S08000002","Borders","Males",2014,"65-74 years",7156
"539","S08000002","Borders","Males",2014,"75plus years",4888
"540","S08000002","Borders","Males",2014,"All",55319
"541","S08000003","Dumfries and Galloway","Males",2014,"0-44 years",34423
"542","S08000003","Dumfries and Galloway","Males",2014,"45-64 years",21890
"543","S08000003","Dumfries and Galloway","Males",2014,"65-74 years",9644
"544","S08000003","Dumfries and Galloway","Males",2014,"75plus years",6868
"545","S08000003","Dumfries and Galloway","Males",2014,"All",72825
"546","S08000004","Fife","Males",2014,"0-44 years",96019
"547","S08000004","Fife","Males",2014,"45-64 years",50055
"548","S08000004","Fife","Males",2014,"65-74 years",19224
"549","S08000004","Fife","Males",2014,"75plus years",12614
"550","S08000004","Fife","Males",2014,"All",177912
"551","S08000005","Forth Valley","Males",2014,"0-44 years",80495
"552","S08000005","Forth Valley","Males",2014,"45-64 years",41444
"553","S08000005","Forth Valley","Males",2014,"65-74 years",14603
"554","S08000005","Forth Valley","Males",2014,"75plus years",9583
"555","S08000005","Forth Valley","Males",2014,"All",146125
"556","S08000006","Grampian","Males",2014,"0-44 years",166934
"557","S08000006","Grampian","Males",2014,"45-64 years",78002
"558","S08000006","Grampian","Males",2014,"65-74 years",26640
"559","S08000006","Grampian","Males",2014,"75plus years",18039
"560","S08000006","Grampian","Males",2014,"All",289615
"561","S08000007","Greater Glasgow and Clyde","Males",2014,"0-44 years",324284
"562","S08000007","Greater Glasgow and Clyde","Males",2014,"45-64 years",146844
"563","S08000007","Greater Glasgow and Clyde","Males",2014,"65-74 years",46393
"564","S08000007","Greater Glasgow and Clyde","Males",2014,"75plus years",32857
"565","S08000007","Greater Glasgow and Clyde","Males",2014,"All",550378
"566","S08000008","Highland","Males",2014,"0-44 years",79174
"567","S08000008","Highland","Males",2014,"45-64 years",46881
"568","S08000008","Highland","Males",2014,"65-74 years",19065
"569","S08000008","Highland","Males",2014,"75plus years",12345
"570","S08000008","Highland","Males",2014,"All",157465
"571","S08000009","Lanarkshire","Males",2014,"0-44 years",176763
"572","S08000009","Lanarkshire","Males",2014,"45-64 years",89794
"573","S08000009","Lanarkshire","Males",2014,"65-74 years",29711
"574","S08000009","Lanarkshire","Males",2014,"75plus years",18960
"575","S08000009","Lanarkshire","Males",2014,"All",315228
"576","S08000010","Lothian","Males",2014,"0-44 years",249991
"577","S08000010","Lothian","Males",2014,"45-64 years",107653
"578","S08000010","Lothian","Males",2014,"65-74 years",34928
"579","S08000010","Lothian","Males",2014,"75plus years",24515
"580","S08000010","Lothian","Males",2014,"All",417087
"581","S08000011","Orkney","Males",2014,"0-44 years",5228
"582","S08000011","Orkney","Males",2014,"45-64 years",3299
"583","S08000011","Orkney","Males",2014,"65-74 years",1338
"584","S08000011","Orkney","Males",2014,"75plus years",864
"585","S08000011","Orkney","Males",2014,"All",10729
"586","S08000012","Shetland","Males",2014,"0-44 years",6425
"587","S08000012","Shetland","Males",2014,"45-64 years",3354
"588","S08000012","Shetland","Males",2014,"65-74 years",1265
"589","S08000012","Shetland","Males",2014,"75plus years",749
"590","S08000012","Shetland","Males",2014,"All",11793
"591","S08000013","Tayside","Males",2014,"0-44 years",108613
"592","S08000013","Tayside","Males",2014,"45-64 years",55148
"593","S08000013","Tayside","Males",2014,"65-74 years",21338
"594","S08000013","Tayside","Males",2014,"75plus years",15774
"595","S08000013","Tayside","Males",2014,"All",200873
"596","S08000014","Western Isles","Males",2014,"0-44 years",6404
"597","S08000014","Western Isles","Males",2014,"45-64 years",4135
"598","S08000014","Western Isles","Males",2014,"65-74 years",1734
"599","S08000014","Western Isles","Males",2014,"75plus years",1171
"600","S08000014","Western Isles","Males",2014,"All",13444
"601","S92000003","Scotland","Females",2014,"0-44 years",1454254
"602","S92000003","Scotland","Females",2014,"45-64 years",755341
"603","S92000003","Scotland","Females",2014,"65-74 years",281387
"604","S92000003","Scotland","Females",2014,"75plus years",260088
"605","S92000003","Scotland","Females",2014,"All",2751070
"606","S08000001","Ayrshire and Arran","Females",2014,"0-44 years",93667
"607","S08000001","Ayrshire and Arran","Females",2014,"45-64 years",56363
"608","S08000001","Ayrshire and Arran","Females",2014,"65-74 years",23269
"609","S08000001","Ayrshire and Arran","Females",2014,"75plus years",20104
"610","S08000001","Ayrshire and Arran","Females",2014,"All",193403
"611","S08000002","Borders","Females",2014,"0-44 years",26691
"612","S08000002","Borders","Females",2014,"45-64 years",17744
"613","S08000002","Borders","Females",2014,"65-74 years",7606
"614","S08000002","Borders","Females",2014,"75plus years",6680
"615","S08000002","Borders","Females",2014,"All",58721
"616","S08000003","Dumfries and Galloway","Females",2014,"0-44 years",34590
"617","S08000003","Dumfries and Galloway","Females",2014,"45-64 years",23272
"618","S08000003","Dumfries and Galloway","Females",2014,"65-74 years",10242
"619","S08000003","Dumfries and Galloway","Females",2014,"75plus years",9031
"620","S08000003","Dumfries and Galloway","Females",2014,"All",77135
"621","S08000004","Fife","Females",2014,"0-44 years",97387
"622","S08000004","Fife","Females",2014,"45-64 years",52712
"623","S08000004","Fife","Females",2014,"65-74 years",21044
"624","S08000004","Fife","Females",2014,"75plus years",18195
"625","S08000004","Fife","Females",2014,"All",189338
"626","S08000005","Forth Valley","Females",2014,"0-44 years",81157
"627","S08000005","Forth Valley","Females",2014,"45-64 years",43138
"628","S08000005","Forth Valley","Females",2014,"65-74 years",16076
"629","S08000005","Forth Valley","Females",2014,"75plus years",13904
"630","S08000005","Forth Valley","Females",2014,"All",154275
"631","S08000006","Grampian","Females",2014,"0-44 years",161683
"632","S08000006","Grampian","Females",2014,"45-64 years",78541
"633","S08000006","Grampian","Females",2014,"65-74 years",28401
"634","S08000006","Grampian","Females",2014,"75plus years",25980
"635","S08000006","Grampian","Females",2014,"All",294605
"636","S08000007","Greater Glasgow and Clyde","Females",2014,"0-44 years",325562
"637","S08000007","Greater Glasgow and Clyde","Females",2014,"45-64 years",158860
"638","S08000007","Greater Glasgow and Clyde","Females",2014,"65-74 years",53311
"639","S08000007","Greater Glasgow and Clyde","Females",2014,"75plus years",54479
"640","S08000007","Greater Glasgow and Clyde","Females",2014,"All",592212
"641","S08000008","Highland","Females",2014,"0-44 years",76657
"642","S08000008","Highland","Females",2014,"45-64 years",48867
"643","S08000008","Highland","Females",2014,"65-74 years",20133
"644","S08000008","Highland","Females",2014,"75plus years",17608
"645","S08000008","Highland","Females",2014,"All",163265
"646","S08000009","Lanarkshire","Females",2014,"0-44 years",178263
"647","S08000009","Lanarkshire","Females",2014,"45-64 years",96113
"648","S08000009","Lanarkshire","Females",2014,"65-74 years",33910
"649","S08000009","Lanarkshire","Females",2014,"75plus years",29786
"650","S08000009","Lanarkshire","Females",2014,"All",338072
"651","S08000010","Lothian","Females",2014,"0-44 years",253028
"652","S08000010","Lothian","Females",2014,"45-64 years",111412
"653","S08000010","Lothian","Females",2014,"65-74 years",39431
"654","S08000010","Lothian","Females",2014,"75plus years",37162
"655","S08000010","Lothian","Females",2014,"All",441033
"656","S08000011","Orkney","Females",2014,"0-44 years",5148
"657","S08000011","Orkney","Females",2014,"45-64 years",3190
"658","S08000011","Orkney","Females",2014,"65-74 years",1400
"659","S08000011","Orkney","Females",2014,"75plus years",1113
"660","S08000011","Orkney","Females",2014,"All",10851
"661","S08000012","Shetland","Females",2014,"0-44 years",5989
"662","S08000012","Shetland","Females",2014,"45-64 years",3215
"663","S08000012","Shetland","Females",2014,"65-74 years",1203
"664","S08000012","Shetland","Females",2014,"75plus years",1020
"665","S08000012","Shetland","Females",2014,"All",11427
"666","S08000013","Tayside","Females",2014,"0-44 years",108231
"667","S08000013","Tayside","Females",2014,"45-64 years",57855
"668","S08000013","Tayside","Females",2014,"65-74 years",23587
"669","S08000013","Tayside","Females",2014,"75plus years",23254
"670","S08000013","Tayside","Females",2014,"All",212927
"671","S08000014","Western Isles","Females",2014,"0-44 years",6201
"672","S08000014","Western Isles","Females",2014,"45-64 years",4059
"673","S08000014","Western Isles","Females",2014,"65-74 years",1774
"674","S08000014","Western Isles","Females",2014,"75plus years",1772
"675","S08000014","Western Isles","Females",2014,"All",13806
"676","S92000003","Scotland","All",2015,"0-44 years",2909073
"677","S92000003","Scotland","All",2015,"45-64 years",1480929
"678","S92000003","Scotland","All",2015,"65-74 years",545281
"679","S92000003","Scotland","All",2015,"75plus years",437717
"680","S92000003","Scotland","All",2015,"All",5373000
"681","S08000001","Ayrshire and Arran","All",2015,"0-44 years",182983
"682","S08000001","Ayrshire and Arran","All",2015,"45-64 years",108500
"683","S08000001","Ayrshire and Arran","All",2015,"65-74 years",44649
"684","S08000001","Ayrshire and Arran","All",2015,"75plus years",34458
"685","S08000001","Ayrshire and Arran","All",2015,"All",370590
"686","S08000002","Borders","All",2015,"0-44 years",52232
"687","S08000002","Borders","All",2015,"45-64 years",35050
"688","S08000002","Borders","All",2015,"65-74 years",15091
"689","S08000002","Borders","All",2015,"75plus years",11657
"690","S08000002","Borders","All",2015,"All",114030
"691","S08000003","Dumfries and Galloway","All",2015,"0-44 years",68189
"692","S08000003","Dumfries and Galloway","All",2015,"45-64 years",45140
"693","S08000003","Dumfries and Galloway","All",2015,"65-74 years",20220
"694","S08000003","Dumfries and Galloway","All",2015,"75plus years",16121
"695","S08000003","Dumfries and Galloway","All",2015,"All",149670
"696","S08000004","Fife","All",2015,"0-44 years",192613
"697","S08000004","Fife","All",2015,"45-64 years",103105
"698","S08000004","Fife","All",2015,"65-74 years",41142
"699","S08000004","Fife","All",2015,"75plus years",31220
"700","S08000004","Fife","All",2015,"All",368080
"701","S08000005","Forth Valley","All",2015,"0-44 years",161727
"702","S08000005","Forth Valley","All",2015,"45-64 years",85559
"703","S08000005","Forth Valley","All",2015,"65-74 years",31473
"704","S08000005","Forth Valley","All",2015,"75plus years",23891
"705","S08000005","Forth Valley","All",2015,"All",302650
"706","S08000006","Grampian","All",2015,"0-44 years",330283
"707","S08000006","Grampian","All",2015,"45-64 years",157011
"708","S08000006","Grampian","All",2015,"65-74 years",56080
"709","S08000006","Grampian","All",2015,"75plus years",44446
"710","S08000006","Grampian","All",2015,"All",587820
"711","S08000007","Greater Glasgow and Clyde","All",2015,"0-44 years",653564
"712","S08000007","Greater Glasgow and Clyde","All",2015,"45-64 years",307871
"713","S08000007","Greater Glasgow and Clyde","All",2015,"65-74 years",101027
"714","S08000007","Greater Glasgow and Clyde","All",2015,"75plus years",87428
"715","S08000007","Greater Glasgow and Clyde","All",2015,"All",1149890
"716","S08000008","Highland","All",2015,"0-44 years",154872
"717","S08000008","Highland","All",2015,"45-64 years",95727
"718","S08000008","Highland","All",2015,"65-74 years",39938
"719","S08000008","Highland","All",2015,"75plus years",30463
"720","S08000008","Highland","All",2015,"All",321000
"721","S08000009","Lanarkshire","All",2015,"0-44 years",352780
"722","S08000009","Lanarkshire","All",2015,"45-64 years",187536
"723","S08000009","Lanarkshire","All",2015,"65-74 years",64793
"724","S08000009","Lanarkshire","All",2015,"75plus years",49381
"725","S08000009","Lanarkshire","All",2015,"All",654490
"726","S08000010","Lothian","All",2015,"0-44 years",508208
"727","S08000010","Lothian","All",2015,"45-64 years",220965
"728","S08000010","Lothian","All",2015,"65-74 years",76333
"729","S08000010","Lothian","All",2015,"75plus years",62294
"730","S08000010","Lothian","All",2015,"All",867800
"731","S08000011","Orkney","All",2015,"0-44 years",10282
"732","S08000011","Orkney","All",2015,"45-64 years",6574
"733","S08000011","Orkney","All",2015,"65-74 years",2717
"734","S08000011","Orkney","All",2015,"75plus years",2097
"735","S08000011","Orkney","All",2015,"All",21670
"736","S08000012","Shetland","All",2015,"0-44 years",12324
"737","S08000012","Shetland","All",2015,"45-64 years",6549
"738","S08000012","Shetland","All",2015,"65-74 years",2501
"739","S08000012","Shetland","All",2015,"75plus years",1826
"740","S08000012","Shetland","All",2015,"All",23200
"741","S08000013","Tayside","All",2015,"0-44 years",216628
"742","S08000013","Tayside","All",2015,"45-64 years",113221
"743","S08000013","Tayside","All",2015,"65-74 years",45747
"744","S08000013","Tayside","All",2015,"75plus years",39444
"745","S08000013","Tayside","All",2015,"All",415040
"746","S08000014","Western Isles","All",2015,"0-44 years",12388
"747","S08000014","Western Isles","All",2015,"45-64 years",8121
"748","S08000014","Western Isles","All",2015,"65-74 years",3570
"749","S08000014","Western Isles","All",2015,"75plus years",2991
"750","S08000014","Western Isles","All",2015,"All",27070
"751","S92000003","Scotland","Males",2015,"0-44 years",1454683
"752","S92000003","Scotland","Males",2015,"45-64 years",720105
"753","S92000003","Scotland","Males",2015,"65-74 years",259409
"754","S92000003","Scotland","Males",2015,"75plus years",176272
"755","S92000003","Scotland","Males",2015,"All",2610469
"756","S08000001","Ayrshire and Arran","Males",2015,"0-44 years",90433
"757","S08000001","Ayrshire and Arran","Males",2015,"45-64 years",51775
"758","S08000001","Ayrshire and Arran","Males",2015,"65-74 years",21148
"759","S08000001","Ayrshire and Arran","Males",2015,"75plus years",14223
"760","S08000001","Ayrshire and Arran","Males",2015,"All",177579
"761","S08000002","Borders","Males",2015,"0-44 years",25768
"762","S08000002","Borders","Males",2015,"45-64 years",17225
"763","S08000002","Borders","Males",2015,"65-74 years",7338
"764","S08000002","Borders","Males",2015,"75plus years",4942
"765","S08000002","Borders","Males",2015,"All",55273
"766","S08000003","Dumfries and Galloway","Males",2015,"0-44 years",33988
"767","S08000003","Dumfries and Galloway","Males",2015,"45-64 years",21835
"768","S08000003","Dumfries and Galloway","Males",2015,"65-74 years",9864
"769","S08000003","Dumfries and Galloway","Males",2015,"75plus years",7004
"770","S08000003","Dumfries and Galloway","Males",2015,"All",72691
"771","S08000004","Fife","Males",2015,"0-44 years",95356
"772","S08000004","Fife","Males",2015,"45-64 years",50179
"773","S08000004","Fife","Males",2015,"65-74 years",19676
"774","S08000004","Fife","Males",2015,"75plus years",12836
"775","S08000004","Fife","Males",2015,"All",178047
"776","S08000005","Forth Valley","Males",2015,"0-44 years",80545
"777","S08000005","Forth Valley","Males",2015,"45-64 years",41913
"778","S08000005","Forth Valley","Males",2015,"65-74 years",15040
"779","S08000005","Forth Valley","Males",2015,"75plus years",9815
"780","S08000005","Forth Valley","Males",2015,"All",147313
"781","S08000006","Grampian","Males",2015,"0-44 years",168135
"782","S08000006","Grampian","Males",2015,"45-64 years",78136
"783","S08000006","Grampian","Males",2015,"65-74 years",27202
"784","S08000006","Grampian","Males",2015,"75plus years",18302
"785","S08000006","Grampian","Males",2015,"All",291775
"786","S08000007","Greater Glasgow and Clyde","Males",2015,"0-44 years",327087
"787","S08000007","Greater Glasgow and Clyde","Males",2015,"45-64 years",147497
"788","S08000007","Greater Glasgow and Clyde","Males",2015,"65-74 years",47200
"789","S08000007","Greater Glasgow and Clyde","Males",2015,"75plus years",33060
"790","S08000007","Greater Glasgow and Clyde","Males",2015,"All",554844
"791","S08000008","Highland","Males",2015,"0-44 years",78875
"792","S08000008","Highland","Males",2015,"45-64 years",46681
"793","S08000008","Highland","Males",2015,"65-74 years",19467
"794","S08000008","Highland","Males",2015,"75plus years",12629
"795","S08000008","Highland","Males",2015,"All",157652
"796","S08000009","Lanarkshire","Males",2015,"0-44 years",175714
"797","S08000009","Lanarkshire","Males",2015,"45-64 years",90451
"798","S08000009","Lanarkshire","Males",2015,"65-74 years",30414
"799","S08000009","Lanarkshire","Males",2015,"75plus years",19424
"800","S08000009","Lanarkshire","Males",2015,"All",316003
"801","S08000010","Lothian","Males",2015,"0-44 years",252249
"802","S08000010","Lothian","Males",2015,"45-64 years",108452
"803","S08000010","Lothian","Males",2015,"65-74 years",35907
"804","S08000010","Lothian","Males",2015,"75plus years",24956
"805","S08000010","Lothian","Males",2015,"All",421564
"806","S08000011","Orkney","Males",2015,"0-44 years",5185
"807","S08000011","Orkney","Males",2015,"45-64 years",3341
"808","S08000011","Orkney","Males",2015,"65-74 years",1322
"809","S08000011","Orkney","Males",2015,"75plus years",937
"810","S08000011","Orkney","Males",2015,"All",10785
"811","S08000012","Shetland","Males",2015,"0-44 years",6358
"812","S08000012","Shetland","Males",2015,"45-64 years",3350
"813","S08000012","Shetland","Males",2015,"65-74 years",1282
"814","S08000012","Shetland","Males",2015,"75plus years",793
"815","S08000012","Shetland","Males",2015,"All",11783
"816","S08000013","Tayside","Males",2015,"0-44 years",108680
"817","S08000013","Tayside","Males",2015,"45-64 years",55189
"818","S08000013","Tayside","Males",2015,"65-74 years",21757
"819","S08000013","Tayside","Males",2015,"75plus years",16160
"820","S08000013","Tayside","Males",2015,"All",201786
"821","S08000014","Western Isles","Males",2015,"0-44 years",6310
"822","S08000014","Western Isles","Males",2015,"45-64 years",4081
"823","S08000014","Western Isles","Males",2015,"65-74 years",1792
"824","S08000014","Western Isles","Males",2015,"75plus years",1191
"825","S08000014","Western Isles","Males",2015,"All",13374
"826","S92000003","Scotland","Females",2015,"0-44 years",1454390
"827","S92000003","Scotland","Females",2015,"45-64 years",760824
"828","S92000003","Scotland","Females",2015,"65-74 years",285872
"829","S92000003","Scotland","Females",2015,"75plus years",261445
"830","S92000003","Scotland","Females",2015,"All",2762531
"831","S08000001","Ayrshire and Arran","Females",2015,"0-44 years",92550
"832","S08000001","Ayrshire and Arran","Females",2015,"45-64 years",56725
"833","S08000001","Ayrshire and Arran","Females",2015,"65-74 years",23501
"834","S08000001","Ayrshire and Arran","Females",2015,"75plus years",20235
"835","S08000001","Ayrshire and Arran","Females",2015,"All",193011
"836","S08000002","Borders","Females",2015,"0-44 years",26464
"837","S08000002","Borders","Females",2015,"45-64 years",17825
"838","S08000002","Borders","Females",2015,"65-74 years",7753
"839","S08000002","Borders","Females",2015,"75plus years",6715
"840","S08000002","Borders","Females",2015,"All",58757
"841","S08000003","Dumfries and Galloway","Females",2015,"0-44 years",34201
"842","S08000003","Dumfries and Galloway","Females",2015,"45-64 years",23305
"843","S08000003","Dumfries and Galloway","Females",2015,"65-74 years",10356
"844","S08000003","Dumfries and Galloway","Females",2015,"75plus years",9117
"845","S08000003","Dumfries and Galloway","Females",2015,"All",76979
"846","S08000004","Fife","Females",2015,"0-44 years",97257
"847","S08000004","Fife","Females",2015,"45-64 years",52926
"848","S08000004","Fife","Females",2015,"65-74 years",21466
"849","S08000004","Fife","Females",2015,"75plus years",18384
"850","S08000004","Fife","Females",2015,"All",190033
"851","S08000005","Forth Valley","Females",2015,"0-44 years",81182
"852","S08000005","Forth Valley","Females",2015,"45-64 years",43646
"853","S08000005","Forth Valley","Females",2015,"65-74 years",16433
"854","S08000005","Forth Valley","Females",2015,"75plus years",14076
"855","S08000005","Forth Valley","Females",2015,"All",155337
"856","S08000006","Grampian","Females",2015,"0-44 years",162148
"857","S08000006","Grampian","Females",2015,"45-64 years",78875
"858","S08000006","Grampian","Females",2015,"65-74 years",28878
"859","S08000006","Grampian","Females",2015,"75plus years",26144
"860","S08000006","Grampian","Females",2015,"All",296045
"861","S08000007","Greater Glasgow and Clyde","Females",2015,"0-44 years",326477
"862","S08000007","Greater Glasgow and Clyde","Females",2015,"45-64 years",160374
"863","S08000007","Greater Glasgow and Clyde","Females",2015,"65-74 years",53827
"864","S08000007","Greater Glasgow and Clyde","Females",2015,"75plus years",54368
"865","S08000007","Greater Glasgow and Clyde","Females",2015,"All",595046
"866","S08000008","Highland","Females",2015,"0-44 years",75997
"867","S08000008","Highland","Females",2015,"45-64 years",49046
"868","S08000008","Highland","Females",2015,"65-74 years",20471
"869","S08000008","Highland","Females",2015,"75plus years",17834
"870","S08000008","Highland","Females",2015,"All",163348
"871","S08000009","Lanarkshire","Females",2015,"0-44 years",177066
"872","S08000009","Lanarkshire","Females",2015,"45-64 years",97085
"873","S08000009","Lanarkshire","Females",2015,"65-74 years",34379
"874","S08000009","Lanarkshire","Females",2015,"75plus years",29957
"875","S08000009","Lanarkshire","Females",2015,"All",338487
"876","S08000010","Lothian","Females",2015,"0-44 years",255959
"877","S08000010","Lothian","Females",2015,"45-64 years",112513
"878","S08000010","Lothian","Females",2015,"65-74 years",40426
"879","S08000010","Lothian","Females",2015,"75plus years",37338
"880","S08000010","Lothian","Females",2015,"All",446236
"881","S08000011","Orkney","Females",2015,"0-44 years",5097
"882","S08000011","Orkney","Females",2015,"45-64 years",3233
"883","S08000011","Orkney","Females",2015,"65-74 years",1395
"884","S08000011","Orkney","Females",2015,"75plus years",1160
"885","S08000011","Orkney","Females",2015,"All",10885
"886","S08000012","Shetland","Females",2015,"0-44 years",5966
"887","S08000012","Shetland","Females",2015,"45-64 years",3199
"888","S08000012","Shetland","Females",2015,"65-74 years",1219
"889","S08000012","Shetland","Females",2015,"75plus years",1033
"890","S08000012","Shetland","Females",2015,"All",11417
"891","S08000013","Tayside","Females",2015,"0-44 years",107948
"892","S08000013","Tayside","Females",2015,"45-64 years",58032
"893","S08000013","Tayside","Females",2015,"65-74 years",23990
"894","S08000013","Tayside","Females",2015,"75plus years",23284
"895","S08000013","Tayside","Females",2015,"All",213254
"896","S08000014","Western Isles","Females",2015,"0-44 years",6078
"897","S08000014","Western Isles","Females",2015,"45-64 years",4040
"898","S08000014","Western Isles","Females",2015,"65-74 years",1778
"899","S08000014","Western Isles","Females",2015,"75plus years",1800
"900","S08000014","Western Isles","Females",2015,"All",13696
"901","S92000003","Scotland","All",2016,"0-44 years",2914533
"902","S92000003","Scotland","All",2016,"45-64 years",1491315
"903","S92000003","Scotland","All",2016,"65-74 years",556543
"904","S92000003","Scotland","All",2016,"75plus years",442309
"905","S92000003","Scotland","All",2016,"All",5404700
"906","S08000001","Ayrshire and Arran","All",2016,"0-44 years",181205
"907","S08000001","Ayrshire and Arran","All",2016,"45-64 years",108954
"908","S08000001","Ayrshire and Arran","All",2016,"65-74 years",45468
"909","S08000001","Ayrshire and Arran","All",2016,"75plus years",34933
"910","S08000001","Ayrshire and Arran","All",2016,"All",370560
"911","S08000002","Borders","All",2016,"0-44 years",51996
"912","S08000002","Borders","All",2016,"45-64 years",35291
"913","S08000002","Borders","All",2016,"65-74 years",15451
"914","S08000002","Borders","All",2016,"75plus years",11792
"915","S08000002","Borders","All",2016,"All",114530
"916","S08000003","Dumfries and Galloway","All",2016,"0-44 years",67438
"917","S08000003","Dumfries and Galloway","All",2016,"45-64 years",45175
"918","S08000003","Dumfries and Galloway","All",2016,"65-74 years",20462
"919","S08000003","Dumfries and Galloway","All",2016,"75plus years",16445
"920","S08000003","Dumfries and Galloway","All",2016,"All",149520
"921","S08000004","Fife","All",2016,"0-44 years",192868
"922","S08000004","Fife","All",2016,"45-64 years",103804
"923","S08000004","Fife","All",2016,"65-74 years",42115
"924","S08000004","Fife","All",2016,"75plus years",31543
"925","S08000004","Fife","All",2016,"All",370330
"926","S08000005","Forth Valley","All",2016,"0-44 years",161649
"927","S08000005","Forth Valley","All",2016,"45-64 years",86366
"928","S08000005","Forth Valley","All",2016,"65-74 years",32210
"929","S08000005","Forth Valley","All",2016,"75plus years",24255
"930","S08000005","Forth Valley","All",2016,"All",304480
"931","S08000006","Grampian","All",2016,"0-44 years",328059
"932","S08000006","Grampian","All",2016,"45-64 years",157684
"933","S08000006","Grampian","All",2016,"65-74 years",57514
"934","S08000006","Grampian","All",2016,"75plus years",44843
"935","S08000006","Grampian","All",2016,"All",588100
"936","S08000007","Greater Glasgow and Clyde","All",2016,"0-44 years",660650
"937","S08000007","Greater Glasgow and Clyde","All",2016,"45-64 years",310147
"938","S08000007","Greater Glasgow and Clyde","All",2016,"65-74 years",102793
"939","S08000007","Greater Glasgow and Clyde","All",2016,"75plus years",87780
"940","S08000007","Greater Glasgow and Clyde","All",2016,"All",1161370
"941","S08000008","Highland","All",2016,"0-44 years",154380
"942","S08000008","Highland","All",2016,"45-64 years",95888
"943","S08000008","Highland","All",2016,"65-74 years",40803
"944","S08000008","Highland","All",2016,"75plus years",30829
"945","S08000008","Highland","All",2016,"All",321900
"946","S08000009","Lanarkshire","All",2016,"0-44 years",351196
"947","S08000009","Lanarkshire","All",2016,"45-64 years",189422
"948","S08000009","Lanarkshire","All",2016,"65-74 years",65853
"949","S08000009","Lanarkshire","All",2016,"75plus years",50019
"950","S08000009","Lanarkshire","All",2016,"All",656490
"951","S08000010","Lothian","All",2016,"0-44 years",514843
